step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
37,0.094193,5.191027,2.0000,0.107505,1579.608851,0.215000,0.215000,0.008076,0.001736,1.000000
38,0.090056,4.872847,2.0000,0.107857,1583.756970,0.215654,0.215654,0.008514,0.001836,1.000000
39,0.089845,4.558818,2.0000,0.113440,1696.999732,0.225174,0.225174,0.008995,0.002025,1.000000
40,0.081437,4.249507,2.0000,0.098894,1208.190733,0.197788,0.197788,0.009525,0.001884,1.000000
41,0.079157,3.945484,2.0000,0.097491,1190.437829,0.194976,0.194976,0.010110,0.001971,1.000000
42,0.075392,3.647326,2.0000,0.089275,1023.071698,0.178034,0.178034,0.010759,0.001915,1.000000
43,0.070598,3.355617,2.0000,0.083243,869.305364,0.165819,0.165819,0.011479,0.001904,1.000000
44,0.064201,3.070950,2.0000,0.069893,683.278979,0.139725,0.139725,0.012282,0.001716,1.000000
45,0.059856,2.793929,2.0000,0.069653,640.828046,0.138547,0.138547,0.013179,0.001826,1.000000
46,0.055817,2.525169,2.0000,0.060884,507.101268,0.121703,0.121703,0.014184,0.001726,1.000000
47,0.053352,2.265302,2.0000,0.060159,471.342471,0.120192,0.120192,0.015313,0.001840,1.000000
48,0.051460,2.014978,2.0000,0.056104,425.184512,0.112209,0.112209,0.016584,0.001861,1.000000
49,0.040836,1.774869,2.0000,0.044500,289.092507,0.088881,0.088881,0.018019,0.001602,1.000000
50,0.039116,1.545675,2.0000,0.040918,246.124325,0.081836,0.081836,0.019641,0.001607,1.000000
51,0.046173,1.328130,2.0000,0.049187,348.229397,0.098013,0.098013,0.021476,0.002105,1.000000
52,0.050576,1.123015,2.0000,0.053358,398.263254,0.106717,0.106717,0.023551,0.002513,1.000000
53,0.050303,0.931163,2.0000,0.053541,388.454177,0.106845,0.106845,0.025891,0.002766,1.000000
54,0.055457,0.753484,2.0000,0.058906,430.438028,0.117811,0.117811,0.028515,0.003359,1.000000
55,0.061853,0.590990,2.0000,0.065231,448.260742,0.130462,0.130462,0.031427,0.004100,1.000000
56,0.073200,0.444834,2.0000,0.073275,451.009285,0.146550,0.146550,0.034606,0.005072,1.000000
57,0.077577,0.316379,2.0000,0.067544,240.332131,0.135088,0.135088,0.037983,0.005131,1.000000
58,0.095971,0.207320,2.0000,0.059464,-389.584135,0.118929,0.118929,0.041414,0.004925,1.000000
59,0.058531,0.119941,2.0000,0.030472,-145.890223,0.060945,0.060945,0.044645,0.002721,1.000000
60,0.058756,0.057790,2.0000,0.025175,-209.029869,0.050349,0.050349,0.047268,0.002380,1.000000
61,0.058732,0.029168,2.0000,0.024080,-220.853947,0.048160,0.048160,0.048583,0.002340,1.000000
